294	294	294	294	294	294	294	294	294	294	294	294	294	294	294	294	294	294	294	294
326	326	321	321	317	312	308	308	303	298	294	280	271	262	258	253	249	244	240	240
344	344	339	339	326	317	308	298	289	276	262	235	217	204	199	199	199	199	194	194
357	353	353	339	321	303	285	267	244	222	204	176	158	149	149	149	145	136	140	140
362	362	352	326	276	249	226	204	181	158	140	118	104	100	100	100	100	100	100	100
357	357	348	298	244	208	176	154	136	118	104	83	73	70	71	74	77	77	77	78
353	348	326	267	217	176	145	117	100	86	78	72	60	57	58	60	60	60	61	62
339	335	303	231	172	127	104	89	79	70	62	51	45	44	45	46	45	45	46	47
326	321	280	190	136	100	82	71	62	54	48	39	34	34	34	35	36	36	37	38
289	280	222	127	86	65	54	44	38	34	25	23	22	23	24	24	24	24	24	25
253	235	163	85	53	38	31	25	23	20	18	15	15	14	15	15	16	16	17	17
217	194	122	60	35	25	22	19	16	15	13	9.90000000000000	9	9	9.90000000000000	11	11	12	12	13
190	163	90	43	26	20	16	14	12	9.90000000000000	9	7.40000000000000	7	7.10000000000000	7.50000000000000	8.30000000000000	8.70000000000000	9	9	9.90000000000000
163	136	73	31	20	15	12	9.90000000000000	9	8.30000000000000	7.70000000000000	5.40000000000000	4.80000000000000	4.90000000000000	5.40000000000000	6.10000000000000	7	7.70000000000000	8.30000000000000	8.50000000000000
145	109	60	24	16	12	9	8.20000000000000	7.70000000000000	6.80000000000000	6.10000000000000	4.30000000000000	3.20000000000000	3.30000000000000	3.70000000000000	4.30000000000000	5.20000000000000	6.50000000000000	6.90000000000000	7.10000000000000
127	94	47	18	14	9.90000000000000	7.70000000000000	6.90000000000000	6.10000000000000	5.70000000000000	0	0	0	0	0	0	0	0	0	0
113	77	36	15	11	9	8	6.50000000000000	5.10000000000000	0	0	0	0	0	0	0	0	0	0	0
104	68	30	11	8.30000000000000	6.40000000000000	5.10000000000000	4.30000000000000	0	0	0	0	0	0	0	0	0	0	0	0
95	60	24	8.50000000000000	6.50000000000000	5.20000000000000	4.30000000000000	3.40000000000000	0	0	0	0	0	0	0	0	0	0	0	0
87	53	21	7.10000000000000	5.30000000000000	4.40000000000000	3.60000000000000	0	0	0	0	0	0	0	0	0	0	0	0	0
83	47	17	6.10000000000000	4.40000000000000	3.60000000000000	3.10000000000000	0	0	0	0	0	0	0	0	0	0	0	0	0
78	42	15	5.20000000000000	3.70000000000000	3.10000000000000	2.60000000000000	0	0	0	0	0	0	0	0	0	0	0	0	0
73	38	12	4.30000000000000	3.20000000000000	2.40000000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0
69	34	9.90000000000000	3.80000000000000	3.50000000000000	2.20000000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0
65	32	9	3.30000000000000	2.40000000000000	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
62	29	8	3	2.10000000000000	1.90000000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59	26	7.10000000000000	2.60000000000000	1.90000000000000	1.80000000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0
56	24	6.30000000000000	2.40000000000000	1.80000000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
53	22	5.60000000000000	2.10000000000000	1.80000000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
